open,high,low,volume,close,time,body,range,body_ratio,true_range,atr14,required_body,condition_1,condition_2,final_signal
77250.0,77312.01,76910.0,183.06024,76986.0,1789056000000,264.0,402.00999999999476,0.6567000820875188,402.00999999999476,,,False,True,False
76986.0,77077.02,76884.27,104.19912,76932.0,1789056900000,54.0,192.75,0.2801556420233463,192.75,,,False,False,False
76932.01,77073.79,76804.99,167.31694,77044.88,1789057800000,112.8700000000099,268.79999999998836,0.4199032738095788,268.79999999998836,,,False,False,False
77044.89,77234.9,77044.88,107.87168,77200.01,1789058700000,155.11999999999534,190.01999999998952,0.8163351226186922,190.01999999998952,,,False,True,False
77200.0,77244.6,77126.26,76.42528,77180.01,1789059600000,19.99000000000524,118.34000000001106,0.16892006084167122,118.34000000001106,,,False,False,False
77180.01,77339.37,77135.15,125.19247,77321.54,1789060500000,141.52999999999884,204.22000000000116,0.6930271276074724,204.22000000000116,,,False,True,False
77321.53,77544.0,77299.58,315.02679,77361.93,1789061400000,40.39999999999418,244.41999999999825,0.16528925619832446,244.41999999999825,,,False,False,False
77361.94,77432.01,77324.51,67.86686,77328.72,1789062300000,33.220000000001164,107.5,0.30902325581396434,107.5,,,False,False,False
77328.72,77340.0,76982.6,92.34676,77020.01,1789063200000,308.7100000000064,357.3999999999942,0.8637660884163723,357.3999999999942,,,False,True,False
77020.01,77169.64,77005.27,83.63919,77074.0,1789064100000,53.99000000000524,164.36999999999534,0.32846626513358135,164.36999999999534,,,False,False,False
77074.01,77166.01,77050.0,55.45053,77158.01,1789065000000,84.0,116.00999999999476,0.7240755107318662,116.00999999999476,,,False,True,False
77158.01,77298.48,77100.0,89.82176,77252.0,1789065900000,93.99000000000524,198.47999999999593,0.4735489721886697,198.47999999999593,,,False,False,False
77252.0,77252.01,77130.0,66.83767,77172.01,1789066800000,79.99000000000524,122.00999999999476,0.6556019998361501,122.00999999999476,,,False,True,False
77172.01,77254.01,77120.1,101.03146,77190.01,1789067700000,18.0,133.90999999998894,0.13441863938467244,133.90999999998894,201.4457142857105,241.73485714285258,False,False,False
77190.0,77298.48,77120.1,88.09119,77254.0,1789068600000,64.0,178.3799999999901,0.35878461710956133,178.3799999999901,185.47214285713875,222.5665714285665,False,False,False
77254.01,77258.01,77083.17,138.64087,77160.83,1789069500000,93.17999999999302,174.8399999999965,0.5329444063143153,174.8399999999965,184.19285714285277,221.03142857142333,False,False,False
